#NAME	CHROM	STRAND	TX_START	TX_END	EXON_START	EXON_END
OR4F5	1	+	69090	70008	69090,	70008,
PEX14	1	+	10534943	10690815	10534943,10555330,10596269,10659294,10678388,10683075,10684396,10687328,10689587,	10535059,10555378,10596354,10659423,10678474,10683178,10684494,10687420,10690815,
CASZ1	1	-	10696660	10856705	10696660,10702915,10703216,10704973,10706184,10707857,10709126,10709339,10710748,10710997,10713433,10714475,10715705,10716702,10718564,10719758,10725139,10753930,10765548,10820757,10856620,	10700116,10703057,10703368,10705145,10706383,10708196,10709249,10709494,10710812,10711133,10714275,10714648,10715870,10716793,10718633,10720593,10725628,10753969,10765601,10820914,10856705,
C1orf127	1	-	11006529	11042094	11006529,11007699,11009680,11014075,11015046,11017079,11017672,11018770,11024184,11026414,11030026,11036212,11042068,	11006798,11008901,11009871,11014199,11015243,11017164,11017810,11018809,11024328,11026539,11030146,11036313,11042094,
TARDBP	1	+	11072456	11086477	11072456,11073772,11076900,11078789,11080485,11082180,	11072800,11074022,11077064,11078930,11080656,11086477,
MASP2	1	-	11086579	11107280	11086579,11090232,11090804,11094884,11097749,11102931,11103395,11105464,11106612,11106947,11107259,	11087705,11090307,11090939,11094963,11097868,11103079,11103592,11105596,11106790,11107176,11107280,
SRM	1	-	11114645	11120081	11114645,11115018,11115837,11116067,11116660,11118856,11119281,11119833,	11114942,11115141,11115983,11116151,11116814,11118949,11119402,11120081,
EXOSC10	1	-	11126674	11159926	11126674,11128064,11128701,11129615,11130956,11132143,11134287,11136898,11137421,11137657,11139767,11140555,11140820,11141138,11142744,11147504,11147856,11148179,11150610,11151070,11151549,11155814,11158076,11159777,	11126805,11128141,11128763,11129787,11131030,11132228,11134383,11137005,11137500,11137708,11139879,11140606,11140969,11141295,11142935,11147648,11147967,11148255,11150725,11151236,11151654,11155938,11158213,11159926,
MTOR	1	-	11166591	11322564	11166591,11168237,11169346,11169705,11172908,11174374,11174869,11175452,11177060,11181302,11182035,11184554,11186678,11187066,11187680,11188060,11188510,11188911,11189794,11190585,11193136,11194407,11199360,11199589,11204704,11205024,11206732,11210182,11217208,11227498,11259314,11259597,11264617,11269368,11270870,11272368,11272852,11273455,11276204,11288724,11290981,11291356,11292492,11293454,11294199,11297899,11298458,11300359,11301609,11303170,11307681,11307875,11313895,11316048,11316989,11318541,11319304,11322501,	11167557,11168343,11169427,11169786,11172974,11174510,11174944,11175525,11177143,11181425,11182183,11184690,11186853,11187201,11187863,11188183,11188609,11189008,11189895,11190834,11193254,11194523,11199492,11199715,11204812,11205102,11206848,11210283,11217348,11227574,11259460,11259760,11264760,11269515,11270963,11272531,11272965,11273623,11276291,11288975,11291111,11291491,11292585,11293544,11294322,11298105,11298674,11300604,11301738,11303357,11307790,11308151,11314030,11316249,11317222,11318650,11319480,11322564,
ANGPTL7	1	+	11249397	11256038	11249397,11252326,11253636,11254517,11254910,	11250012,11252427,11253831,11254716,11256038,
UBIAD1	1	+	11333262	11348491	11333262,11345700,	11334117,11348491,
PTCHD2	1	+	11539294	11597641	11539294,11561046,11562734,11574446,11575425,11576057,11577519,11579411,11579775,11580743,11583998,11585232,11586707,11589612,11589843,11590963,11591621,11594437,11595067,11595534,11596380,	11539429,11562145,11562954,11574583,11575560,11576218,11577659,11579560,11579937,11580905,11584112,11585369,11586892,11589743,11590016,11591090,11591767,11594597,11595181,11595701,11597641,
FBXO2	1	-	11708423	11714739	11708423,11709143,11709835,11710001,11710522,11714375,	11708885,11709282,11709931,11710131,11710891,11714739,
FBXO44	1	+	11714913	11723384	11714913,11715384,11715862,11718323,11718589,11718792,11721186,	11715009,11715756,11716157,11718450,11718685,11718928,11723384,
FBXO6	1	+	11724180	11734411	11724180,11728712,11731322,11731984,11733333,11733671,	11724312,11729001,11731449,11732080,11733469,11734411,
MAD2L2	1	-	11734536	11751707	11734536,11735138,11735714,11736102,11736904,11737599,11740409,11740618,11741095,11741794,11751469,	11734873,11735231,11735788,11736197,11737005,11737671,11740528,11740670,11741495,11742073,11751707,
DRAXIN	1	+	11751785	11785914	11751785,11766305,11769331,11771907,11772396,11775175,11779640,	11751910,11766766,11769522,11772022,11772486,11775265,11785914,
AGTRAP	1	+	11796211	11810822	11796211,11805859,11807496,11808471,11810133,	11796292,11805894,11807602,11808667,11810822,
C1orf167	1	+	11821843	11849641	11821843,11824387,11825913,11827020,11827277,11828133,11831580,11832138,11835491,11836520,11838716,11838982,11839858,11842245,11844230,11845204,11847444,11847929,11848220,11848708,11849326,	11822331,11824539,11826633,11827142,11827321,11828376,11831693,11832316,11835667,11836695,11838873,11839137,11840067,11842390,11844650,11845346,11847550,11848104,11848435,11848803,11849641,
MTHFR	1	-	11845779	11863302	11845779,11851263,11852334,11853963,11854414,11854785,11855154,11856262,11860268,11861217,11862937,	11850955,11851383,11852436,11854146,11854595,11854920,11855405,11856456,11860379,11861456,11863302,
CLCN6	1	+	11866267	11903201	11866267,11867187,11875902,11876671,11879544,11882751,11883763,11884542,11886212,11887145,11888162,11888514,11889252,11893571,11893933,11894292,11894540,11896023,11897055,11897399,11898391,11898591,11900199,	11866406,11867247,11875968,11876737,11879611,11882858,11883890,11884610,11886271,11887278,11888276,11888681,11889379,11893695,11894087,11894452,11894647,11896210,11897213,11897556,11898499,11898717,11903201,
NPPA	1	-	11905765	11907840	11905765,11907169,11907618,	11906071,11907496,11907840,
NPPB	1	-	11917520	11918988	11917520,11918270,11918758,	11917728,11918526,11918988,
KIAA2013	1	-	11979647	11986480	11979647,11982692,11985261,	11980389,11983546,11986480,
PLOD1	1	+	11994809	12035594	11994809,12008032,12009829,12010413,12012679,12014886,12016973,12017898,12018572,12020702,12023588,12024231,12024700,12025536,12026307,12027043,12030726,12032928,12034709,	11994912,12008124,12009963,12010577,12012792,12014950,12017071,12018000,12018704,12020824,12023693,12024357,12024842,12025650,12026373,12027148,12030873,12033054,12035594,
MFN2	1	+	12040237	12073571	12040237,12049221,12052611,12056212,12057353,12058826,12059044,12061457,12061825,12062038,12064048,12064565,12064881,12065767,12066594,12067109,12069648,12071552,	12040541,12049400,12052747,12056375,12057478,12058935,12059152,12061611,12061893,12062160,12064175,12064670,12064984,12065988,12066750,12067306,12069783,12073571,
MIIP	1	+	12079522	12092102	12079522,12081701,12082151,12082889,12089089,12089279,12089821,12090084,12091322,12091778,	12079609,12081897,12082499,12082974,12089198,12089338,12089951,12090181,12091460,12092102,
TNFRSF8	1	+	12123433	12204264	12123433,12144520,12157157,12164435,12169622,12170097,12171954,12175633,12183340,12183771,12186007,12186239,12195644,12198285,12202343,	12123718,12144608,12157274,12164588,12169713,12170261,12172071,12175786,12183434,12183884,12186109,12186293,12195670,12198493,12204264,
TNFRSF1B	1	+	12227059	12269285	12227059,12248852,12251013,12251830,12252487,12252919,12254011,12254640,12262023,12266796,	12227226,12248952,12251142,12251980,12252581,12253155,12254089,12254675,12262228,12269285,
VPS13D	1	+	12290123	12572099	12290123,12294247,12302569,12304302,12304593,12309279,12313778,12316389,12317043,12317991,12320749,12321004,12321957,12326937,12327901,12328762,12331050,12333059,12335881,12339555,12342761,12348279,12351054,12353580,12359258,12364562,12368487,12371510,12371869,12374171,12378128,12379553,12381865,12382592,12383762,12387704,12389885,12393282,12395761,12398287,12401836,12402955,12405430,12406661,12408879,12409220,12414030,12415955,12416454,12418514,12422775,12423127,12428522,12429521,12433804,12438481,12439541,12443034,12445318,12446243,12460237,12461660,12463877,12475139,12476712,12516053,12520255,12557553,12566906,12568946,	12290177,12294420,12302647,12304493,12304674,12309396,12313883,12316560,12317144,12318160,12320851,12321206,12322137,12327068,12327977,12328933,12331181,12333192,12338095,12339707,12343793,12348370,12351181,12353761,12359441,12364785,12368698,12371682,12371982,12374384,12378394,12379687,12382021,12382803,12383837,12387911,12389975,12393423,12395884,12398362,12401942,12403108,12405566,12406709,12409030,12409431,12414278,12416147,12416581,12418657,12422906,12423303,12428646,12429757,12433913,12438645,12439650,12443214,12445432,12446393,12460387,12461757,12464026,12475274,12476880,12516186,12520451,12557685,12567147,12572099,
DHRS3	1	-	12627938	12677737	12627938,12632755,12638745,12639320,12640550,12677158,12677526,	12628453,12632881,12638984,12639440,12640694,12677525,12677737,
AADACL4	1	+	12704565	12727097	12704565,12711141,12721801,12725971,	12704733,12711358,12721865,12727097,
AADACL3	1	+	12776145	12788367	12776145,12779476,12780884,12785188,12786417,12786444,	12776347,12779693,12780948,12786416,12786443,12788367,
C1orf158	1	+	12806162	12823847	12806162,12815649,12819242,12820702,12821478,12822304,12823037,	12806489,12815763,12819420,12821476,12822091,12823036,12823847,
PRAMEF12	1	+	12834983	12838049	12834983,12835685,12837153,	12835297,12836261,12838049,
PRAMEF1	1	+	12851545	12856777	12851545,12851566,12851582,12853351,12854063,12855586,12855845,	12851565,12851581,12851623,12853663,12854642,12855834,12856777,
PRAMEF11	1	-	12884467	12891264	12884467,12887107,12888356,12891209,	12885361,12887689,12888664,12891264,
HNRNPCL1	1	-	12907229	13007404	12907229,13007342,	12908323,13007404,
PRAMEF2	1	+	12916940	12921764	12916940,12918839,12919547,12921075,	12917002,12919151,12920126,12921764,
PRAMEF4	1	-	12939044	12946025	12939044,12941674,12942922,12945970,	12939926,12942256,12943231,12946025,
PRAMEF10	1	-	12952726	12958101	12952726,12954416,12954967,12955391,12955461,12955492,12958046,	12953305,12954966,12954995,12955460,12955491,12955703,12958101,
PRAMEF7	1	+	12976429	12980302	12976429,12977512,12978181,12979671,12980127,	12976527,12977799,12978757,12980121,12980302,
PRAMEF6	1	-	12998301	13005246	12998301,13000813,13002061,13005182,	12999066,13001395,13002370,13005246,
PRAMEF22	1	+	13035542	13038381	13035542,13036221,13037807,	13035835,13036800,13038381,
WI2-3308P17.2	1	-	13052393	13052998	13052393,	13052998,
HNRNPCL2	1	-	13182967	13184326	13182967,13184264,	13184053,13184326,
HNRNPCL4	1	-	13182990	13183872	13182990,13183249,13183573,13183634,	13183011,13183510,13183630,13183872,
PRAMEF26	1	-	13216355	13219581	13216355,13218999,	13217249,13219581,
PRAMEF5	1	+	13359818	13369057	13359818,13364868,13365843,13368171,	13359896,13365177,13366425,13369057,
PRAMEF8	1	-	13386645	13390765	13386645,13388457,13389415,13390707,	13387543,13389033,13389727,13390765,
PRAMEF9	1	+	13421175	13428191	13421175,13423986,13424966,13427297,	13421253,13424295,13425548,13428191,
PRAMEF18	1	-	13474688	13477522	13474688,13476270,13477235,	13475262,13476849,13477522,
PRAMEF16	1	+	13495253	13498260	13495253,13495966,13497569,	13495570,13496545,13498260,
PRAMEF21	1	+	13516065	13526943	13516065,13521968,13523736,13526311,	13516160,13522259,13524315,13526943,
PRAMEF15	1	+	13641972	13648988	13641972,13644783,13645763,13648094,	13642050,13645092,13646345,13648988,
PRAMEF14	1	-	13668742	13673511	13668742,13670414,13671404,13673433,	13669463,13670993,13671716,13673511,
PRAMEF19	1	-	13695524	13698151	13695524,13697106,13698071,	13696098,13697685,13698151,
PRAMEF17	1	+	13716091	13719089	13716091,13716800,13718403,	13716404,13717379,13719089,
PRAMEF20	1	+	13736906	13747803	13736906,13742807,13744596,13747171,	13737001,13743098,13745175,13747803,
LRRC38	1	-	13801444	13840543	13801444,13839457,	13802567,13840543,
PDPN	1	+	13909959	13944452	13909959,13933667,13936881,13940181,13940794,13942399,	13910595,13933801,13937011,13940220,13940906,13944452,
PRDM2	1	+	14031349	14151574	14031349,14042035,14057494,14059273,14068499,14075855,14099572,14104912,14142921,14149653,	14032140,14042109,14057612,14059377,14068652,14075982,14099683,14109326,14143065,14151574,
KAZN	1	+	14925199	15444539	14925199,15287179,15361244,15370484,15382586,15386667,15390067,15392125,15420675,15421310,15428038,15429854,15430518,15438922,15440966,	14925719,15287371,15361381,15370655,15382776,15386798,15390118,15392249,15420881,15421429,15428270,15429956,15430685,15439037,15444539,
TMEM51	1	+	15479027	15546973	15479027,15541390,15545821,	15479280,15541927,15546973,
FHAD1	1	+	15573767	15724622	15573767,15578266,15598818,15615894,15623179,15627700,15635108,15639552,15642873,15644319,15650947,15653554,15654772,15655841,15668231,15671578,15671911,15675537,15679372,15684605,15686973,15689137,15692322,15693958,15695865,15700997,15702098,15707196,15707726,15708523,15723792,	15573891,15578373,15599025,15616162,15623289,15627937,15635232,15639683,15642963,15644424,15651055,15653638,15654925,15656037,15668389,15671686,15672019,15675645,15679480,15684779,15687199,15689222,15692429,15694118,15695998,15701127,15702226,15707292,15707947,15708689,15724622,
EFHD2	1	+	15736390	15756839	15736390,15752366,15753645,15755088,	15736775,15752514,15753780,15756839,
CTRC	1	+	15764934	15773149	15764934,15766795,15766988,15768942,15769913,15771100,15772091,15773069,	15765000,15766887,15767086,15769068,15770050,15771246,15772244,15773149,
CELA2A	1	+	15783223	15798586	15783223,15783580,15788055,15789227,15789880,15792493,15793880,15798484,	15783288,15783669,15788153,15789356,15790017,15792639,15794033,15798586,
CELA2B	1	+	15802595	15817895	15802595,15802951,15807592,15808759,15809758,15812395,15813779,15817789,	15802660,15803040,15807690,15808888,15809895,15812541,15813932,15817895,
CASP9	1	-	15818764	15850790	15818764,15820386,15821767,15831105,15832484,15833393,15834367,15844604,15850563,	15819530,15820496,15821947,15831253,15832574,15833570,15834402,15844890,15850790,
DNAJC16	1	+	15853307	15898228	15853307,15855582,15860731,15862969,15870893,15873261,15874764,15886020,15888636,15890423,15890777,15892413,15892576,15893593,15894272,	15853453,15855767,15860798,15863309,15871078,15873366,15874923,15886151,15888820,15890606,15890854,15892494,15892675,15893764,15898228,
AGMAT	1	-	15898847	15911605	15898847,15901251,15904179,15905353,15906588,15909687,15911190,	15900219,15901336,15904359,15905549,15906637,15909890,15911605,
DDI2	1	+	15943994	15995539	15943994,15953163,15956819,15959933,15964801,15970016,15976214,15978200,15983111,15986331,	15944303,15953293,15957056,15960060,15964929,15970145,15976318,15978390,15983174,15995539,
RSC1A1	1	+	15986363	15988217	15986363,	15988217,
PLEKHM2	1	+	16010826	16061264	16010826,16042731,16043201,16044387,16045032,16046228,16047823,16051811,16053508,16054573,16054761,16055163,16055596,16056291,16057026,16057686,16058383,16058844,16059106,16060291,	16011113,16042838,16043311,16044487,16045120,16046415,16047883,16052040,16054327,16054643,16054852,16055228,16055685,16056424,16057217,16057752,16058543,16059024,16059223,16061264,
SLC25A34	1	+	16062899	16067891	16062899,16064423,16064587,16065088,16065718,	16063358,16064489,16064740,16065223,16067891,
TMEM82	1	+	16068916	16074477	16068916,16069329,16069514,16070654,16073361,16074040,	16069142,16069402,16069689,16071075,16073549,16074477,
FBLIM1	1	+	16083153	16113089	16083153,16084668,16090987,16091458,16093870,16095022,16096903,16101112,16103664,16111042,	16083227,16084824,16091180,16091728,16094058,16095125,16097073,16101291,16103782,16113089,
UQCRHL	1	-	16133663	16135843	16133663,	16135843,
SPEN	1	+	16174358	16266955	16174358,16199310,16202696,16235815,16237595,16242622,16245420,16245898,16247364,16248743,16254585,16263657,16264306,16265212,16265790,	16174645,16199631,16203173,16235976,16237796,16242774,16245546,16246012,16247478,16248844,16262761,16264140,16264501,16265371,16266955,
ZBTB17	1	-	16268363	16302621	16268363,16268825,16269023,16269558,16269893,16270093,16270302,16270794,16271191,16271431,16272209,16272648,16273429,16274785,16299533,16302477,	16268747,16268915,16269233,16269689,16270014,16270210,16270390,16271095,16271334,16271697,16272335,16272789,16273618,16274992,16299620,16302621,
C1orf64	1	+	16330730	16335302	16330730,16332413,	16330880,16335302,
HSPB7	1	-	16340522	16345285	16340522,16343568,16344259,	16342254,16343702,16345285,
CLCNKA	1	+	16348546	16360545	16348546,16349107,16350294,16351257,16352602,16353030,16353191,16353804,16354315,16354512,16355255,16355620,16356225,16356459,16356955,16358204,16358697,16358937,16359664,16360105,	16348558,16349214,16350423,16351386,16352742,16353108,16353270,16353930,16354400,16354614,16355340,16355794,16356295,16356570,16357169,16358338,16358786,16359021,16359751,16360545,
CLCNKB	1	+	16370271	16383803	16370271,16370980,16372052,16373029,16374399,16374837,16374998,16375614,16376112,16376309,16377010,16377369,16377972,16378204,16378692,16380133,16381929,16382169,16382916,16383363,	16370375,16371087,16372181,16373158,16374539,16374915,16375077,16375740,16376197,16376411,16377095,16377543,16378042,16378315,16378906,16380267,16382018,16382253,16383003,16383803,
FAM131C	1	-	16384263	16400121	16384263,16385988,16386363,16388593,16388993,16390015,16399915,	16385212,16386099,16386546,16388687,16389029,16390131,16400121,
EPHA2	1	-	16450831	16482582	16450831,16455928,16456720,16458215,16458558,16458872,16459674,16459975,16460354,16460962,16461530,16462149,16464347,16464769,16474872,16477390,16482342,	16451815,16456084,16456914,16458365,16458768,16458934,16459863,16460101,16460410,16461062,16461684,16462265,16464680,16464925,16475542,16477458,16482582,
ARHGEF19	1	-	16524598	16539104	16524598,16525644,16528276,16528910,16531253,16531581,16531845,16532032,16532425,16532674,16533442,16534016,16534169,16534438,16535137,16538996,	16525239,16525749,16528356,16529069,16531414,16531671,16531920,16532162,16532578,16532835,16533705,16534093,16534272,16534720,16535578,16539104,
C1orf134	1	-	16555367	16556038	16555367,16555977,	16555558,16556038,
RSG1	1	-	16558194	16563657	16558194,16559004,16559387,16560106,16563125,	16558792,16559141,16559512,16560259,16563657,
FBXO42	1	-	16573333	16678949	16573333,16578782,16579590,16580129,16582205,16583100,16621277,16632297,16641663,16678749,	16578280,16578899,16579647,16580226,16582316,16583254,16621412,16632414,16641930,16678949,
SZRD1	1	+	16693577	16724637	16693577,16717869,16719722,16721532,	16693803,16717919,16719977,16724637,
SPATA21	1	-	16725137	16763919	16725137,16725838,16727214,16730221,16730462,16731461,16735612,16736095,16748003,16748405,16757832,16759284,16763622,	16725317,16726016,16727387,16730339,16730534,16731599,16735698,16736538,16748052,16748466,16757917,16759419,16763919,
